Internal Name,MJD,DM,Width,SNR,RA,Dec,RADecErr,Notes,Version,doi,Publication
250924mptq,60942.172498155225,404.688,0.786432,19.1153,307.7765,53.849,60,FRB 20250924A or Reginald,0.1,10.25800/nmzq-s553,
240229aaad,60369.37095224303,491.554,0.524288,93.8694,169.9835,70.6762,1.8,FRB 20240229A or Casey,0.2,10.25800/vvjj-ck16,2025NatAs.tmp..131C
240215aawc,60355.670224790236,549.461,2.097152,17.139,268.4413,70.2324,2.0,bubble or FRB 20240215A,v1,10.25800/088v-wk57,2025NatAs.tmp..131C
240213aani,60353.373403659585,358.141,2.097152,15.047,166.1683,74.0754,2.0,annie or FRB 20240213A,v1,10.25800/n9cs-ws08,2025NatAs.tmp..131C
240123aaaf,60332.17478361675,1462.39,4.194304,11.1692,68.2625,71.9453,2.0,pushkin or FRB 20240123A,1.0,10.25800/0k9e-r811,2025NatAs.tmp..131C
240119aacg,60328.60501729543,483.626,2.097152,8.90289,224.4672,71.6118,2.0,nikhil or FRB 20240119A,v1,10.25800/nppv-m251,2025NatAs.tmp..131C
231220aaae,60298.42283360953,491.554,0.524288,28.8258,123.9087,73.6599,2.0,gemechu or FRB 20231220A,1.0,10.25800/t09p-cw14,2025NatAs.tmp..131C
231123aacm,60271.822551098376,396.857,2.097152,12.1176,242.5382,70.7851,2.0,squanto or FRB 20231123B,1.0,10.25800/zgrs-ka44,2025NatAs.tmp..131C
231120aabi,60268.563792455694,437.737,4.194304,15.4776,143.984,73.2847,2.0,mizu or FRB 20231120A,1.0,10.25800/716z-z014,2025NatAs.tmp..131C
230814aaas,60170.36092675556,696.411,2.097152,45.0684,335.9748,73.02590556,2,johndoe or FRB 20230814B,v1,10.25800/36j8-s097,2025NatAs.tmp..131C
230712aadj,60137.99607698942,587.567,0.524288,11.5228,167.3585,72.55778333,2.0,pingu or FRB 20230712A,v1,10.25800/180g-bx08,2025NatAs.tmp..131C
230628aaaa,60123.01274387967,344.952,1.048576,20.4978,166.7867,72.2818,2.0,tildis or FRB 20230628A,1.0,10.25800/9kce-nm91,2025NatAs.tmp..131C
230626aaai,60121.23527111091,452.723,0.524288,10.796,235.6296,71.1335,2.0,fatima or FRB 20230626A,1.0,10.25800/737q-9433,2025NatAs.tmp..131C
230521aaad,60085.636157192814,1342.88,1.048576,9.29977,351.036,71.138,2.0,bruce or FRB 20230521B,1.0,10.25800/e771-x010,2025NatAs.tmp..131C
230501aaae,60065.65976439427,532.471,0.524288,20.2621,340.0271,70.9221,2.0,mikayla or FRB 20230501A,1.0,10.25800/jvgy-9w14,2025NatAs.tmp..131C
230307aaao,60010.37885771851,608.854,1.048576,89.536,177.7816,71.6951,2.0,phineas or FRB 20230307A,v1,10.25800/vmyz-bw14,2025NatAs.tmp..131C
230216aaag,59991.356504718584,828.289,2.097152,11.7547,156.4722,3.4367,2.0,ferb or FRB 20230216A,v1,10.25800/yxdf-pc51,2025NatAs.tmp..131C
230124aaav,59968.63194566558,590.574,4.194304,10.7955,231.917,70.9681,2.0,leonidas or FRB 20230124A,1.0,10.25800/a8ga-5r64,2025NatAs.tmp..131C
221219aabz,59932.7929781342,706.708,4.194304,8.86661,257.6298,71.6268,2.0,nihari or FRB 20221219A,1.0,10.25800/axeg-vp89,2024arXiv240514182F
221203aaaa,59916.00175089585,602.715,0.524288,223.712,314.2951436532319,71.56102219775967,12240.0,wilhelm or FRB 20221203A,v1,10.25800/v0me-yp06,
221116aaab,59899.22477867964,643.448,4.194304,18.5852,21.211,72.6538,2.0,FRB 20221116A or charlotte,2.0,10.25800/fp0g-j613,2025NatAs.tmp..131C
221113aaao,59896.386510976576,411.027,0.262144,9.92514,71.411,70.3074,2.0,FRB 20221113A or isha,0.1,10.25800/n41n-km61,2025NatAs.tmp..131C
221101aaar,59884.42698938205,1475.53,2.097152,14.9657,75.6230806577376,71.61911002899086,12240.0,FRB 20221101A or Ayo,0.1,10.25800/rhx8-q229,2024ApJ...964..131S
221101aaag,59884.16479025045,491.554,2.097152,10.1206,342.2158,70.6815,2.0,FRB 20221101B or Nina,0.1,10.25800/5047-7p24,2024ApJ...964..131S
221029aado,59881.623731809545,1391.7457756490348,1.048576,12.0592,141.9635,72.4526,2.0,FRB 20221029A or Mifanshan,0.1,10.25800/8jtm-kg91,2024ApJ...964..131S
221027aags,59879.58997661772,452.72300083614687,0.524288,12.128,130.872,72.1009,2.0,FRB 20221027A or Koyaanisqatsi,1.0,10.25800/aja4-8995,2024ApJ...964..131S
221018aaaj,59870.22278235404,228.26,4.194304,12.2189,348.48064656602367,48.72655442202422,12240.0,FRB 20220912A,0.2,10.25800/tb9n-ty83,2023ApJ...949L...3R
221012aaab,59864.05109122935,440.3577052365792,2.097152,9.41028,280.79870833,70.52420833,1.12,FRB 20221012A or Juan,2.0,10.22002/m5ah8-rs854,2024ApJ...967...29L
221002aaab,59854.06510037296,319.9514493839755,4.194304,8.50112,276.1653233655198,71.63666932811358,12240.0,FRB 20221002A or Arni,1.0,10.25800/qwjb-s984,2024ApJ...964..131S
220926aaeu,59848.235935876444,441.9841708692066,0.524288,10.2599,331.7255172115475,71.53859664024996,12240.0,FRB 20220926A or Celeste,1.0,10.25800/e2xb-fv58,2024ApJ...964..131S
220920aacl,59842.981570516306,314.9769778399538,0.524288,14.3507,240.25708333,70.91880028,1.02,FRB 20220920A or Etienne,0.1,10.25800/m4kd-1425,2024ApJ...967...29L
220914aabz,59836.14596611509,630.703,0.524288,9.64463,282.05679167,73.33691389,0.93,FRB 20220914A or Elektra,0.1,10.25800/yw5z-vg45,2024ApJ...967...29L
220831aaaj,59822.31071818924,1146.14,2.097152,19.1941,338.6958,70.5388,2.0,FRB 20220831A or Ada,1.0,10.25800/cnw8-4n46,2024ApJ...964..131S
220825aaad,59816.2572924695,649.893,1.048576,15.0645,311.98145,72.58496944,0.78,FRB 20220825A or Ansel,0.1,10.25800/sjrv-6g05,2024ApJ...967...29L
220801aabd,59792.617763655544,413.416,1.048576,9.25457,53.816154505204636,71.55972073011407,12240.0,FRB 20220801A or Augustine,1.0,10.25800/9bc8-gb65,2024ApJ...964..131S
220726aabn,59786.693269169016,686.232,1.048576,12.7249,73.9455,69.9295,2.0,FRB 20220726A or Gertrude,1.0,10.25800/71fc-q951,2024ApJ...964..131S
220506aabd,59705.59701292354,396.651,0.524288,48.9187,318.04483333,72.82727778,1.11,FRB 20220506D or Oran,0.1,10.25800/gr7c-0427,2024ApJ...967...29L
220426aaaw,59708.4944990805,270.26,0.524288,21.5075,282.67,70.24383333,2.2,FRB 20220509G or Jackie,0.1,10.25800/znr4-ve54,2024ApJ...967...29L
220424aabq,59693.77942529174,863.932,0.524288,9.4097,14.829727027951053,71.51344341074208,12240.0,FRB 20220424E or Davina,1.0,10.25800/9gfx-j068,2024ApJ...964..131S
220418aaai,59687.355728476265,624.124,1.048576,10.8782,219.105575,70.09594444,1.356,FRB 20220418A or Quincy,0.1,10.25800/a07h-n034,2024ApJ...967...29L
220330aaan,59668.26840931455,467.788,8.388608,12.935,163.7512,70.3507,2.0,FRB 20220330D or Erdos,2.0,10.25800/qnjv-z173,2024ApJ...964..131S
220319aaeb,59657.93275696795,110.95,0.262144,79,32.1779,71.035,2.0,FRB 20220319D or Mark,0.1,10.25800/q675-py16,2024ApJ...967...29L
220310aaam,59648.24172074433,462.657,1.048576,68.41,134.7205,73.49083333,1.9,FRB 20220310F or Whitney,0.1,10.25800/pjkr-hv84,2024ApJ...967...29L
220307aaae,59645.84563425257,499.328,0.524288,11.9059,350.87449583,72.19238611,1.72,FRB 20220307B or Alex,0.1,10.25800/r4nh-yw48,2024ApJ...967...29L
220208aaaa,59618.829625068116,440.73,4.194304,13.7659,322.5751,70.041,2.0,FRB 20220208A or Ishita,1.0,10.25800/4xg5-8147,2024ApJ...964..131S
220207aabh,59617.80850364017,263.0,0.524288,59.9635,310.199525,72.88232722,0.63,FRB 20220207C or Zach,0.3,10.25800/kc3j-xz88,2024ApJ...967...29L
220204aaai,59614.726529166874,612.584,1.048576,16.2165,274.2263,69.7225,2.0,FRB 20220204A or Fen,1.0,10.25800/js53-g526,2024ApJ...964..131S
220121aaat,59600.230171591305,313.421,2.097152,9.38042,84.73011927667115,65.72272589512798,12240.0,FRB 20220121B or Clare,1.0,10.25800/03mc-ce23,2024ApJ...964..131S
